,origin,destination,Origin_city,Destination_city,Fly_date,year,month,name_x,origin_latitude,origin_longitude,name_y,destination_latitude,destination_longitude
504896,SEA,LAX,"Seattle, WA","Los Angeles, CA",1998-08-01,1998,8,Seattle–Tacoma International Airport,47.449162,-122.311134,Los Angeles / Tom Bradley International Airport,33.942501,-118.407997
1404189,VLD,ATL,"Valdosta, GA","Atlanta, GA",2004-01-01,2004,1,Valdosta Regional Airport,30.78249931335449,-83.27670288085938,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
2521570,ELP,SAN,"El Paso, TX","San Diego, CA",2007-12-01,2007,12,El Paso International Airport,31.80719948,-106.3779984,San Diego International Airport,32.7336006165,-117.190002441
1144601,MSO,GEG,"Missoula, MT","Spokane, WA",2005-03-01,2005,3,Missoula International Airport,46.91630173,-114.0910034,Spokane International Airport,47.6199,-117.533997
1008465,LAS,SLC,"Las Vegas, NV","Salt Lake City, UT",2006-02-01,2006,2,Harry Reid International Airport,36.083361,-115.151817,Salt Lake City International Airport,40.785749,-111.979746
1422382,BWI,IAH,"Baltimore, MD","Houston, TX",1995-11-01,1995,11,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438
1754500,SJC,SFO,"San Jose, CA","San Francisco, CA",1995-11-01,1995,11,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,San Francisco International Airport,37.61899948120117,-122.375
3289032,JFK,FWA,"New York, NY","Fort Wayne, IN",2004-05-01,2004,5,John F Kennedy International Airport,40.639447,-73.779317,Fort Wayne International Airport,40.9785,-85.195099
1876696,LGA,CLE,"New York, NY","Cleveland, OH",2005-07-01,2005,7,La Guardia Airport,40.777199,-73.872597,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099
3186157,EWR,CAE,"Newark, NJ","Columbia, SC",2000-02-01,2000,2,Newark Liberty International Airport,40.692501,-74.168701,Columbia Metropolitan Airport,33.938801,-81.119499
2044335,GSO,PHL,"Greensboro, NC","Philadelphia, PA",1995-01-01,1995,1,Piedmont Triad International Airport,36.097801,-79.937302,Philadelphia International Airport,39.87189865112305,-75.24109649658203
1562925,SEA,EAT,"Seattle, WA","Wenatchee, WA",2007-07-01,2007,7,Seattle–Tacoma International Airport,47.449162,-122.311134,Pangborn Memorial Airport,47.3988990784,-120.207000732
810377,MEM,DTW,"Memphis, TN","Detroit, MI",1990-01-01,1990,1,Memphis International Airport,35.04240036010742,-89.97669982910156,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203
1758667,SAN,SFO,"San Diego, CA","San Francisco, CA",2001-03-01,2001,3,San Diego International Airport,32.7336006165,-117.190002441,San Francisco International Airport,37.61899948120117,-122.375
2979159,BNA,MCO,"Nashville, TN","Orlando, FL",2003-07-01,2003,7,Nashville International Airport,36.1245002746582,-86.6781997680664,Orlando International Airport,28.429399490356445,-81.30899810791016
1972346,BWI,HOU,"Baltimore, MD","Houston, TX",2003-03-01,2003,3,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,William P Hobby Airport,29.645399,-95.2789
3268434,DTW,PVD,"Detroit, MI","Providence, RI",1997-03-01,1997,3,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,Theodore Francis Green State Airport,41.725038,-71.425668
2106329,DTW,MKE,"Detroit, MI","Milwaukee, WI",2008-01-01,2008,1,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,General Mitchell International Airport,42.94720077514648,-87.89659881591797
467404,YIP,MEM,"Detroit, MI","Memphis, TN",2006-11-01,2006,11,Willow Run Airport,42.23789978,-83.53040314,Memphis International Airport,35.04240036010742,-89.97669982910156
2075836,BUF,PHL,"Buffalo, NY","Philadelphia, PA",2003-07-01,2003,7,Buffalo Niagara International Airport,42.94049835,-78.73220062,Philadelphia International Airport,39.87189865112305,-75.24109649658203
