,0,1,2
161,DFW_8,PHL_9,ATL_10
162,MCO_1,DTW_2,LAS_3
163,IND_1,MEM_2,DTW_3
164,LGA_7,DFW_8,MSP_9
165,JFK_9,MIA_10,TPA_11
166,MCO_3,DFW_4,LAX_5
167,EWR_4,BOS_5,EWR_6
168,EWR_6,STL_7,LAX_8
169,DTW_8,ATL_9,CLT_10
170,MIA_3,TPA_4,STL_5
171,DFW_9,STL_10,ATL_11
172,DFW_4,ATL_5,STL_6
173,LGA_8,DCA_9,LGA_10
174,CVG_1,PIT_2,ATL_3
175,LAX_6,LAS_7,SFO_8
176,DCA_5,MIA_6,ATL_7
177,LAX_9,STL_10,DTW_11
178,ORD_9,MSP_10,LAX_11
179,LAS_4,IND_5,ORD_6
180,SEA_4,MSP_5,SEA_6
181,JFK_7,MIA_8,IAH_9
182,STL_9,MSP_10,SFO_11
183,MCO_2,ORD_3,IAH_4
184,ORD_5,LAX_6,SFO_7
185,EWR_1,MEM_2,LGA_3
186,MCO_8,LAX_9,CVG_10
187,PHL_1,ATL_2,DFW_3
188,IAH_10,BOS_11,PIT_12
189,PIT_7,LGA_8,ORD_9
190,ORD_2,MIA_3,ATL_4
191,MEM_8,ATL_9,BOS_10
192,ATL_7,BWI_8,ATL_9
193,LGA_2,IAD_3,ORD_4
194,DFW_10,STL_11,CLE_12
195,LGA_3,BOS_4,DTW_5
196,LAX_10,LAS_11,JFK_12
197,SFO_6,PHX_7,LAX_8
198,CLE_3,IAD_4,PHL_5
199,ATL_4,ORD_5,DCA_6
200,EWR_9,STL_10,CLT_11
201,PIT_3,DCA_4,ORD_5
202,SFO_10,LAX_11,SFO_12
203,CLT_2,ATL_3,PIT_4
204,IAH_10,ATL_11,MCO_12
205,PHL_4,LAX_5,JFK_6
206,SLC_7,STL_8,PIT_9
207,JFK_6,DCA_7,CVG_8
208,MCO_10,ATL_11,MIA_12
209,DFW_7,ORD_8,STL_9
210,BWI_4,LAX_5,BOS_6
211,DTW_7,SEA_8,SFO_9
212,ORD_2,DFW_3,SFO_4
213,BOS_7,LGA_8,ATL_9
214,ATL_10,TPA_11,JFK_12
215,PIT_8,DCA_9,MSP_10
216,LAX_6,ATL_7,DFW_8
217,ORD_6,SLC_7,CVG_8
218,ORD_5,DTW_6,ORD_7
219,BOS_10,DFW_11,CVG_12
220,PHX_3,LAX_4,ATL_5
221,DTW_9,ATL_10,ORD_11
222,SEA_9,ORD_10,DFW_11
223,ORD_10,MCO_11,STL_12
224,LGA_2,ORD_3,SEA_4
225,ATL_7,SLC_8,LAX_9
226,PHX_9,DFW_10,LAX_11
227,PHL_9,IAH_10,ATL_11
228,ATL_7,ORD_8,BOS_9
229,MCO_9,EWR_10,SFO_11
230,ORD_6,DFW_7,SEA_8
231,MIA_1,EWR_2,CVG_3
232,MIA_9,LGA_10,ORD_11
233,LGA_9,DCA_10,ATL_11
234,MCO_9,BWI_10,ATL_11
235,CLT_3,BOS_4,ORD_5
236,DCA_3,BOS_4,MCO_5
237,CLT_1,DFW_2,MSP_3
238,IND_3,CLT_4,BOS_5
239,EWR_8,DCA_9,ATL_10
240,DCA_5,CLT_6,PHL_7
241,DTW_9,STL_10,SEA_11
242,ORD_5,SFO_6,LAX_7
243,STL_10,LAS_11,LAX_12
244,LAX_2,ATL_3,DTW_4
245,EWR_8,STL_9,MIA_10
246,CLT_10,EWR_11,BWI_12
247,SEA_9,ORD_10,LGA_11
248,JFK_2,LAX_3,STL_4
249,MIA_2,IAH_3,SFO_4
250,EWR_4,BOS_5,ATL_6
251,TPA_5,JFK_6,SEA_7
252,LAX_8,SEA_9,ATL_10
253,TPA_4,IAD_5,LAX_6
254,MEM_10,MSP_11,ORD_12
255,IND_10,MEM_11,IND_12
256,MEM_7,LAX_8,PHX_9
257,BWI_8,DFW_9,STL_10
258,PIT_1,LAX_2,CLT_3
259,PHX_3,PIT_4,LAX_5
260,JFK_9,LAX_10,SFO_11
261,CLE_4,ATL_5,LAX_6
262,MIA_7,ORD_8,DCA_9
263,SFO_6,LAX_7,MIA_8
264,ATL_4,LGA_5,ORD_6
265,DFW_5,DTW_6,ORD_7
266,LAX_10,MIA_11,CVG_12
267,ATL_6,STL_7,PHX_8
268,EWR_5,DCA_6,BOS_7
269,CLE_5,TPA_6,EWR_7
270,LAX_3,SFO_4,IAH_5
271,SEA_10,SLC_11,PHX_12
272,TPA_8,JFK_9,LAX_10
273,LGA_1,DCA_2,MIA_3
274,CLT_10,ORD_11,LAX_12
275,BOS_7,LGA_8,CLT_9
276,DTW_2,ATL_3,MCO_4
277,ORD_5,DCA_6,ATL_7
278,DCA_1,MIA_2,LGA_3
279,ORD_8,IND_9,ATL_10
280,DCA_3,IND_4,STL_5
281,DCA_3,BOS_4,SFO_5
282,MIA_4,EWR_5,BOS_6
283,EWR_5,LAX_6,SFO_7
284,MCO_2,IND_3,PIT_4
285,PIT_8,ORD_9,BWI_10
286,LGA_3,MSP_4,LGA_5
287,DTW_4,CVG_5,SLC_6
288,MCO_10,ORD_11,SFO_12
289,ORD_6,LAX_7,BOS_8
290,EWR_2,IAH_3,JFK_4
291,SFO_9,MSP_10,BOS_11
292,MIA_5,LGA_6,MCO_7
293,TPA_2,EWR_3,MIA_4
294,DFW_3,ORD_4,IAD_5
295,ORD_7,BOS_8,JFK_9
296,LAX_4,PHX_5,SFO_6
297,ATL_4,ORD_5,EWR_6
298,ORD_8,SEA_9,LAX_10
299,ORD_8,IAD_9,LAX_10
300,LAX_4,ORD_5,LGA_6
301,DTW_4,SFO_5,ORD_6
302,SFO_2,LAX_3,SFO_4
303,MCO_5,ATL_6,TPA_7
304,ORD_7,CLT_8,ATL_9
305,ATL_10,BWI_11,ORD_12
306,ORD_8,SFO_9,ATL_10
307,STL_1,DTW_2,TPA_3
308,TPA_4,MSP_5,PHX_6
309,STL_6,LGA_7,DTW_8
310,LAS_5,ORD_6,MSP_7
311,EWR_6,PIT_7,TPA_8
312,CLE_3,BOS_4,ATL_5
313,MIA_5,STL_6,ATL_7
314,SLC_4,LAX_5,SFO_6
315,MSP_5,ORD_6,IAH_7
316,SEA_1,MEM_2,MIA_3
317,SEA_6,IAD_7,DFW_8
318,PHX_3,BWI_4,ORD_5
319,SLC_1,LAX_2,JFK_3
320,CLT_8,ORD_9,IND_10
321,ATL_9,EWR_10,DTW_11
322,PHL_8,DTW_9,DCA_10
323,LAX_6,JFK_7,LAX_8
324,JFK_10,SFO_11,LAX_12
325,LAX_4,LAS_5,JFK_6
326,LGA_7,DCA_8,CLE_9
327,BOS_4,LGA_5,ORD_6
328,MIA_3,MSP_4,DFW_5
329,LAX_1,PIT_2,DCA_3
330,LGA_5,ORD_6,BOS_7
331,LAX_7,BOS_8,STL_9
332,SFO_4,LAX_5,SFO_6
333,ORD_4,EWR_5,MSP_6
334,LAX_4,PHL_5,MIA_6
335,CLT_2,MIA_3,STL_4
336,MSP_5,ORD_6,SEA_7
337,EWR_5,DCA_6,LGA_7
338,ATL_6,LGA_7,ATL_8
339,LAX_6,PHX_7,SEA_8
340,CVG_9,TPA_10,EWR_11
341,CLT_2,ATL_3,EWR_4
342,ORD_3,MCO_4,LGA_5
343,IND_4,DCA_5,IND_6
344,IND_4,LAX_5,STL_6
345,ATL_8,CLT_9,IAH_10
346,CVG_8,LAX_9,STL_10
347,LGA_6,DTW_7,ORD_8
348,ATL_6,BOS_7,DTW_8
349,LAX_9,SFO_10,ORD_11
350,DFW_3,DTW_4,PHL_5
351,DFW_10,IAD_11,SEA_12
352,MEM_10,ORD_11,ATL_12
353,STL_6,EWR_7,ORD_8
354,ORD_2,MIA_3,IAD_4
355,PHX_9,LAS_10,PHX_11
356,JFK_5,SFO_6,PHX_7
357,MIA_8,MCO_9,DFW_10
358,TPA_9,ATL_10,MSP_11
359,LGA_2,IAD_3,DTW_4
360,PHL_10,ORD_11,CVG_12
361,PHL_1,ORD_2,DTW_3
362,IAH_5,TPA_6,ORD_7
363,LGA_5,TPA_6,CVG_7
364,ORD_9,CLT_10,LAX_11
365,MIA_10,EWR_11,DTW_12
366,STL_8,MSP_9,CVG_10
367,DTW_1,MIA_2,DCA_3
368,MIA_4,LGA_5,DCA_6
369,MEM_5,ATL_6,SEA_7
370,PHX_6,DFW_7,LAX_8
371,LGA_3,DCA_4,JFK_5
372,BOS_2,EWR_3,CLE_4
373,ATL_3,DCA_4,MIA_5
374,LAX_9,SLC_10,SEA_11
375,ORD_1,JFK_2,MIA_3
376,IND_7,STL_8,LAS_9
377,MEM_10,DCA_11,BOS_12
378,MSP_6,SLC_7,LAS_8
379,ORD_3,CLT_4,ATL_5
380,ORD_10,BOS_11,ORD_12
381,DTW_7,MSP_8,LAX_9
