iata,latitude,longitude,cluster,color
MEM_5,420,320,0,red
MEM_6,490,320,0,red
MEM_7,560,320,0,red
MEM_8,630,320,0,red
MEM_9,700,320,0,red
MEM_10,770,320,0,red
MEM_11,840,320,0,red
MEM_12,910,320,0,red
MEM_13,980,320,0,red
STL_1,140,340,0,red
STL_2,210,340,0,red
STL_3,280,340,0,red
STL_4,350,340,0,red
STL_5,420,340,0,red
STL_6,490,340,0,red
STL_7,560,340,0,red
STL_8,630,340,0,red
STL_9,700,340,0,red
STL_10,770,340,0,red
STL_11,840,340,0,red
STL_12,910,340,0,red
STL_13,980,340,0,red
EWR_1,140,360,0,red
EWR_2,210,360,0,red
EWR_3,280,360,0,red
EWR_4,350,360,0,red
EWR_5,420,360,0,red
EWR_6,490,360,0,red
EWR_7,560,360,0,red
EWR_8,630,360,0,red
EWR_9,700,360,0,red
EWR_10,770,360,0,red
EWR_11,840,360,0,red
EWR_12,910,360,0,red
EWR_13,980,360,0,red
IAH_1,140,380,0,red
IAH_2,210,380,0,red
IAH_3,280,380,0,red
IAH_4,350,380,0,red
IAH_5,420,380,0,red
IAH_6,490,380,0,red
IAH_7,560,380,0,red
IAH_8,630,380,0,red
IAH_9,700,380,0,red
IAH_10,770,380,0,red
IAH_11,840,380,0,red
IAH_12,910,380,0,red
IAH_13,980,380,0,red
PHL_1,140,400,0,red
PHL_2,210,400,0,red
PHL_3,280,400,0,red
PHL_4,350,400,0,red
PHL_5,420,400,0,red
PHL_6,490,400,0,red
PHL_7,560,400,0,red
PHL_8,630,400,0,red
PHL_9,700,400,0,red
PHL_10,770,400,0,red
PHL_11,840,400,0,red
PHL_12,910,400,0,red
PHL_13,980,400,0,red
CLT_1,140,420,0,red
CLT_2,210,420,0,red
CLT_3,280,420,0,red
CLT_4,350,420,0,red
CLT_5,420,420,0,red
CLT_6,490,420,0,red
CLT_7,560,420,0,red
CLT_8,630,420,0,red
CLT_9,700,420,0,red
CLT_10,770,420,0,red
CLT_11,840,420,0,red
CLT_12,910,420,0,red
CLT_13,980,420,0,red
MSP_1,140,440,0,red
MSP_2,210,440,0,red
MSP_3,280,440,0,red
MSP_4,350,440,0,red
MSP_5,420,440,0,red
MSP_6,490,440,0,red
MSP_7,560,440,0,red
MSP_8,630,440,0,red
MSP_9,700,440,0,red
MSP_10,770,440,0,red
MSP_11,840,440,0,red
MSP_12,910,440,0,red
MSP_13,980,440,0,red
DTW_1,140,460,0,red
DTW_2,210,460,0,red
DTW_3,280,460,0,red
DTW_4,350,460,0,red
DTW_5,420,460,0,red
DTW_6,490,460,0,red
DTW_7,560,460,0,red
DTW_8,630,460,0,red
DTW_9,700,460,0,red
DTW_10,770,460,0,red
DTW_11,840,460,0,red
DTW_12,910,460,0,red
DTW_13,980,460,0,red
PIT_1,140,480,0,red
PIT_2,210,480,0,red
PIT_3,280,480,0,red
PIT_4,350,480,0,red
PIT_5,420,480,0,red
PIT_6,490,480,0,red
PIT_7,560,480,0,red
PIT_8,630,480,0,red
PIT_9,700,480,0,red
PIT_10,770,480,0,red
PIT_11,840,480,0,red
PIT_12,910,480,0,red
PIT_13,980,480,0,red
PHX_1,140,500,1,blue
PHX_2,210,500,1,blue
PHX_3,280,500,1,blue
PHX_4,350,500,1,blue
PHX_5,420,500,1,blue
PHX_6,490,500,1,blue
PHX_7,560,500,1,blue
PHX_8,630,500,1,blue
PHX_9,700,500,1,blue
PHX_10,770,500,1,blue
PHX_11,840,500,1,blue
PHX_12,910,500,1,blue
PHX_13,980,500,1,blue
SFO_1,140,520,1,blue
SFO_2,210,520,1,blue
SFO_3,280,520,1,blue
SFO_4,350,520,1,blue
SFO_5,420,520,1,blue
SFO_6,490,520,1,blue
SFO_7,560,520,1,blue
SFO_8,630,520,1,blue
SFO_9,700,520,1,blue
SFO_10,770,520,1,blue
SFO_11,840,520,1,blue
SFO_12,910,520,1,blue
SFO_13,980,520,1,blue
LAX_1,140,540,1,blue
LAX_2,210,540,1,blue
LAX_3,280,540,1,blue
LAX_4,350,540,1,blue
LAX_5,420,540,1,blue
LAX_6,490,540,1,blue
LAX_7,560,540,1,blue
LAX_8,630,540,1,blue
LAX_9,700,540,1,blue
LAX_10,770,540,1,blue
LAX_11,840,540,1,blue
LAX_12,910,540,1,blue
LAX_13,980,540,1,blue
DFW_1,140,560,1,blue
DFW_2,210,560,1,blue
DFW_3,280,560,1,blue
DFW_4,350,560,1,blue
DFW_5,420,560,1,blue
DFW_6,490,560,1,blue
DFW_7,560,560,1,blue
DFW_8,630,560,1,blue
DFW_9,700,560,1,blue
DFW_10,770,560,1,blue
DFW_11,840,560,1,blue
DFW_12,910,560,1,blue
DFW_13,980,560,1,blue
ATL_1,140,580,1,blue
ATL_2,210,580,1,blue
ATL_3,280,580,1,blue
ATL_4,350,580,1,blue
ATL_5,420,580,1,blue
ATL_6,490,580,1,blue
ATL_7,560,580,1,blue
ATL_8,630,580,1,blue
ATL_9,700,580,1,blue
ATL_10,770,580,1,blue
ATL_11,840,580,1,blue
ATL_12,910,580,1,blue
ATL_13,980,580,1,blue
ORD_1,140,600,1,blue
ORD_2,210,600,1,blue
ORD_3,280,600,1,blue
ORD_4,350,600,1,blue
ORD_5,420,600,1,blue
ORD_6,490,600,1,blue
ORD_7,560,600,1,blue
ORD_8,630,600,1,blue
ORD_9,700,600,1,blue
ORD_10,770,600,1,blue
ORD_11,840,600,1,blue
ORD_12,910,600,1,blue
ORD_13,980,600,1,blue
