origin,destination,count,color
SHV_88,MSY_89,1593,red
SHV_89,MSY_90,1494,red
SHV_90,MSY_91,1459,red
SHV_97,MSY_98,66,red
SHV_102,MSY_103,78,red
SHV_104,MSY_105,51,red
SHV_117,MSY_118,197,red
SHV_118,MSY_119,184,red
SHV_119,MSY_120,12,red
COS_20,DRO_21,44,red
GJT_1,DRO_2,615,red
GJT_2,DRO_3,580,red
GJT_3,DRO_4,623,red
GJT_4,DRO_5,492,red
GJT_5,DRO_6,768,red
GJT_6,DRO_7,813,red
GJT_7,DRO_8,361,red
GJT_9,DRO_10,420,red
GJT_10,DRO_11,615,red
GJT_11,DRO_12,810,red
GJT_12,DRO_13,856,red
GJT_13,DRO_14,813,red
GJT_14,DRO_15,796,red
GJT_15,DRO_16,1400,red
GJT_16,DRO_17,869,red
GJT_17,DRO_18,882,red
GJT_18,DRO_19,757,red
GJT_19,DRO_20,578,red
MTJ_72,DRO_73,7,red
COS_75,GJT_76,755,red
COS_76,GJT_77,343,red
COS_77,GJT_78,180,red
COS_87,GJT_88,36,red
COS_90,GJT_91,142,red
COS_94,GJT_95,36,red
COS_96,GJT_97,19,red
COS_98,GJT_99,27,red
COS_99,GJT_100,30,red
COS_117,GJT_118,43,red
DRO_1,GJT_2,2450,red
DRO_2,GJT_3,2512,red
DRO_3,GJT_4,2657,red
DRO_4,GJT_5,2134,red
DRO_5,GJT_6,2266,red
DRO_6,GJT_7,3007,red
DRO_7,GJT_8,1732,red
DRO_9,GJT_10,630,red
DRO_10,GJT_11,877,red
DRO_11,GJT_12,920,red
DRO_12,GJT_13,1194,red
DRO_13,GJT_14,737,red
DRO_14,GJT_15,895,red
DRO_15,GJT_16,1346,red
DRO_16,GJT_17,1146,red
DRO_17,GJT_18,1087,red
DRO_18,GJT_19,1019,red
DRO_19,GJT_20,872,red
DRO_78,GJT_79,674,red
DRO_80,GJT_81,1813,red
DRO_82,GJT_83,1359,red
MSY_36,GJT_37,130,blue
MSY_84,GJT_85,116,blue
MTJ_1,GJT_2,318,red
MTJ_2,GJT_3,251,red
MTJ_3,GJT_4,293,red
MTJ_69,GJT_70,12,red
MTJ_71,GJT_72,4,red
MTJ_78,GJT_79,4,red
MTJ_81,GJT_82,7,red
MTJ_84,GJT_85,3,red
MTJ_88,GJT_89,17,red
SHV_75,GJT_76,119,blue
COS_88,MTJ_89,38,red
DRO_89,MTJ_90,10,red
GJT_1,MTJ_2,241,red
GJT_2,MTJ_3,338,red
GJT_3,MTJ_4,301,red
GJT_70,MTJ_71,9,red
GJT_74,MTJ_75,6,red
GJT_78,MTJ_79,26,red
GJT_79,MTJ_80,15,red
GJT_81,MTJ_82,39,red
GJT_88,MTJ_89,19,red
GJT_103,MTJ_104,6,red
GJT_105,MTJ_106,10,red
COS_1,PUB_2,2644,red
COS_2,PUB_3,2363,red
COS_3,PUB_4,2939,red
COS_4,PUB_5,2695,red
COS_5,PUB_6,2874,red
COS_6,PUB_7,3468,red
COS_7,PUB_8,3537,red
COS_8,PUB_9,3675,red
COS_9,PUB_10,2901,red
COS_10,PUB_11,2697,red
COS_11,PUB_12,2520,red
COS_12,PUB_13,3026,red
COS_13,PUB_14,2079,red
COS_14,PUB_15,2186,red
COS_15,PUB_16,2997,red
COS_16,PUB_17,2865,red
COS_17,PUB_18,2895,red
COS_18,PUB_19,3123,red
COS_19,PUB_20,3160,red
COS_20,PUB_21,2974,red
COS_21,PUB_22,1824,red
COS_22,PUB_23,844,red
COS_23,PUB_24,679,red
COS_24,PUB_25,897,red
COS_25,PUB_26,564,red
COS_26,PUB_27,669,red
COS_27,PUB_28,742,red
COS_28,PUB_29,448,red
COS_29,PUB_30,566,red
COS_32,PUB_33,52,red
COS_39,PUB_40,230,red
MSY_115,PUB_116,95,blue
SHV_63,PUB_64,117,blue
DRO_77,COS_78,23,red
DRO_103,COS_104,27,red
DRO_109,COS_110,43,red
DRO_111,COS_112,136,red
DRO_114,COS_115,11,red
DRO_115,COS_116,45,red
GJT_20,COS_21,87,red
GJT_75,COS_76,802,red
GJT_76,COS_77,337,red
GJT_77,COS_78,194,red
GJT_87,COS_88,36,red
GJT_94,COS_95,37,red
GJT_96,COS_97,19,red
GJT_99,COS_100,30,red
GJT_109,COS_110,26,red
GJT_114,COS_115,90,red
GJT_117,COS_118,71,red
MSY_4,COS_5,109,blue
MSY_13,COS_14,47,blue
MSY_18,COS_19,270,blue
MSY_19,COS_20,144,blue
MSY_20,COS_21,90,blue
MSY_43,COS_44,19,blue
MSY_65,COS_66,147,blue
MSY_67,COS_68,97,blue
MSY_88,COS_89,2,blue
MSY_92,COS_93,198,blue
MSY_103,COS_104,100,blue
MSY_110,COS_111,147,blue
MSY_114,COS_115,214,blue
MTJ_37,COS_38,110,red
MTJ_88,COS_89,38,red
MTJ_108,COS_109,6,red
MTJ_112,COS_113,14,red
MTJ_114,COS_115,43,red
MTJ_116,COS_117,27,red
PUB_1,COS_2,2307,red
PUB_2,COS_3,1897,red
PUB_3,COS_4,2410,red
PUB_4,COS_5,2358,red
PUB_5,COS_6,3003,red
PUB_6,COS_7,3411,red
PUB_7,COS_8,3280,red
PUB_8,COS_9,3837,red
PUB_9,COS_10,2462,red
PUB_10,COS_11,2582,red
PUB_11,COS_12,2438,red
PUB_12,COS_13,3062,red
PUB_13,COS_14,2043,red
PUB_14,COS_15,1921,red
PUB_15,COS_16,3119,red
PUB_16,COS_17,2896,red
PUB_17,COS_18,2749,red
PUB_18,COS_19,3181,red
PUB_19,COS_20,3025,red
PUB_20,COS_21,2552,red
PUB_21,COS_22,1534,red
PUB_22,COS_23,915,red
PUB_23,COS_24,752,red
PUB_24,COS_25,832,red
PUB_25,COS_26,524,red
PUB_26,COS_27,543,red
PUB_27,COS_28,751,red
PUB_28,COS_29,500,red
PUB_29,COS_30,513,red
PUB_32,COS_33,52,red
PUB_67,COS_68,108,red
PUB_79,COS_80,92,red
PUB_103,COS_104,91,red
PUB_114,COS_115,60,red
PUB_115,COS_116,208,red
SHV_64,COS_65,63,blue
LFT_43,ESF_44,23,red
LFT_59,ESF_60,43,red
LFT_60,ESF_61,33,red
LFT_78,ESF_79,15,red
MLU_61,ESF_62,327,red
MLU_62,ESF_63,400,red
MLU_63,ESF_64,492,red
MLU_64,ESF_65,527,red
MLU_65,ESF_66,601,red
MLU_66,ESF_67,563,red
MLU_67,ESF_68,472,red
MLU_68,ESF_69,574,red
MLU_69,ESF_70,471,red
MLU_70,ESF_71,570,red
MLU_71,ESF_72,582,red
MLU_72,ESF_73,618,red
MLU_73,ESF_74,494,red
MLU_74,ESF_75,486,red
MLU_75,ESF_76,205,red
MLU_76,ESF_77,194,red
MLU_77,ESF_78,206,red
MLU_78,ESF_79,183,red
MLU_79,ESF_80,35,red
MLU_80,ESF_81,18,red
SHV_79,ESF_80,11,red
