iata,latitude,longitude,cluster
IAH_11,960,360,0
IAH_12,1040,360,0
IAH_13,1120,360,0
CVG_1,160,380,0
CVG_2,240,380,0
CVG_3,320,380,0
CVG_4,400,380,0
CVG_5,480,380,0
CVG_6,560,380,0
CVG_7,640,380,0
CVG_8,720,380,0
CVG_9,800,380,0
CVG_10,880,380,0
CVG_11,960,380,0
CVG_12,1040,380,0
CVG_13,1120,380,0
SLC_1,160,400,0
SLC_2,240,400,0
SLC_3,320,400,0
SLC_4,400,400,0
SLC_5,480,400,0
SLC_6,560,400,0
SLC_7,640,400,0
SLC_8,720,400,0
SLC_9,800,400,0
SLC_10,880,400,0
SLC_11,960,400,0
SLC_12,1040,400,0
SLC_13,1120,400,0
IAD_1,160,420,0
IAD_2,240,420,0
IAD_3,320,420,0
IAD_4,400,420,0
IAD_5,480,420,0
IAD_6,560,420,0
IAD_7,640,420,0
IAD_8,720,420,0
IAD_9,800,420,0
IAD_10,880,420,0
IAD_11,960,420,0
IAD_12,1040,420,0
IAD_13,1120,420,0
DFW_1,160,440,1
DFW_2,240,440,1
DFW_3,320,440,1
DFW_4,400,440,1
DFW_5,480,440,1
DFW_6,560,440,1
DFW_7,640,440,1
DFW_8,720,440,1
DFW_9,800,440,1
DFW_10,880,440,1
DFW_11,960,440,1
DFW_12,1040,440,1
DFW_13,1120,440,1
ATL_1,160,460,1
ATL_2,240,460,1
ATL_3,320,460,1
ATL_4,400,460,1
ATL_5,480,460,1
ATL_6,560,460,1
ATL_7,640,460,1
ATL_8,720,460,1
ATL_9,800,460,1
ATL_10,880,460,1
ATL_11,960,460,1
ATL_12,1040,460,1
ATL_13,1120,460,1
ORD_1,160,480,1
ORD_2,240,480,1
ORD_3,320,480,1
ORD_4,400,480,1
ORD_5,480,480,1
ORD_6,560,480,1
ORD_7,640,480,1
ORD_8,720,480,1
ORD_9,800,480,1
ORD_10,880,480,1
ORD_11,960,480,1
ORD_12,1040,480,1
ORD_13,1120,480,1
LAX_1,160,500,2
LAX_2,240,500,2
LAX_3,320,500,2
LAX_4,400,500,2
LAX_5,480,500,2
LAX_6,560,500,2
LAX_7,640,500,2
LAX_8,720,500,2
LAX_9,800,500,2
LAX_10,880,500,2
LAX_11,960,500,2
LAX_12,1040,500,2
LAX_13,1120,500,2
SFO_1,160,520,3
SFO_2,240,520,3
SFO_3,320,520,3
SFO_4,400,520,3
SFO_5,480,520,3
SFO_6,560,520,3
SFO_7,640,520,3
SFO_8,720,520,3
SFO_9,800,520,3
SFO_10,880,520,3
SFO_11,960,520,3
SFO_12,1040,520,3
SFO_13,1120,520,3
JFK_1,160,540,3
JFK_2,240,540,3
JFK_3,320,540,3
JFK_4,400,540,3
JFK_5,480,540,3
JFK_6,560,540,3
JFK_7,640,540,3
JFK_8,720,540,3
JFK_9,800,540,3
JFK_10,880,540,3
JFK_11,960,540,3
JFK_12,1040,540,3
JFK_13,1120,540,3
LAS_1,160,560,3
LAS_2,240,560,3
LAS_3,320,560,3
LAS_4,400,560,3
LAS_5,480,560,3
LAS_6,560,560,3
LAS_7,640,560,3
LAS_8,720,560,3
LAS_9,800,560,3
LAS_10,880,560,3
LAS_11,960,560,3
LAS_12,1040,560,3
LAS_13,1120,560,3
SEA_1,160,580,3
SEA_2,240,580,3
SEA_3,320,580,3
SEA_4,400,580,3
SEA_5,480,580,3
SEA_6,560,580,3
SEA_7,640,580,3
SEA_8,720,580,3
SEA_9,800,580,3
SEA_10,880,580,3
SEA_11,960,580,3
SEA_12,1040,580,3
SEA_13,1120,580,3
PHX_1,160,600,3
PHX_2,240,600,3
PHX_3,320,600,3
PHX_4,400,600,3
PHX_5,480,600,3
PHX_6,560,600,3
PHX_7,640,600,3
PHX_8,720,600,3
PHX_9,800,600,3
PHX_10,880,600,3
PHX_11,960,600,3
PHX_12,1040,600,3
PHX_13,1120,600,3
