iata,longitude,latitude,cluster,color
RIC_6,504,440,1,LightCoral
RIC_7,576,440,1,LightCoral
RIC_8,648,440,1,LightCoral
RIC_9,720,440,1,LightCoral
RIC_10,792,440,1,LightCoral
RIC_11,864,440,1,LightCoral
RIC_12,936,440,1,LightCoral
RIC_13,1008,440,1,LightCoral
SHD_1,144,480,1,LightCoral
SHD_2,216,480,1,LightCoral
SHD_3,288,480,1,LightCoral
SHD_4,360,480,1,LightCoral
SHD_5,432,480,1,LightCoral
SHD_6,504,480,1,LightCoral
SHD_7,576,480,1,LightCoral
SHD_8,648,480,1,LightCoral
SHD_9,720,480,1,LightCoral
SHD_10,792,480,1,LightCoral
SHD_11,864,480,1,LightCoral
SHD_12,936,480,1,LightCoral
SHD_13,1008,480,1,LightCoral
LYH_1,144,520,1,LightCoral
LYH_2,216,520,1,LightCoral
LYH_3,288,520,1,LightCoral
LYH_4,360,520,1,LightCoral
LYH_5,432,520,1,LightCoral
LYH_6,504,520,1,LightCoral
LYH_7,576,520,1,LightCoral
LYH_8,648,520,1,LightCoral
LYH_9,720,520,1,LightCoral
LYH_10,792,520,1,LightCoral
LYH_11,864,520,1,LightCoral
LYH_12,936,520,1,LightCoral
LYH_13,1008,520,1,LightCoral
CHO_1,144,560,1,LightCoral
CHO_2,216,560,1,LightCoral
CHO_3,288,560,1,LightCoral
CHO_4,360,560,1,LightCoral
CHO_5,432,560,1,LightCoral
CHO_6,504,560,1,LightCoral
CHO_7,576,560,1,LightCoral
CHO_8,648,560,1,LightCoral
CHO_9,720,560,1,LightCoral
CHO_10,792,560,1,LightCoral
CHO_11,864,560,1,LightCoral
CHO_12,936,560,1,LightCoral
CHO_13,1008,560,1,LightCoral
